vendor_id,calls,answer_rate,avg_duration_sec
VND0000001,6025,0.19385892116182574,449.1960165975104
VND0000002,5934,0.19683181664981464,443.31412200876304
VND0000003,5964,0.19919517102615694,454.3744131455399
VND0000004,5925,0.1951054852320675,450.5692827004219
VND0000005,6048,0.1949404761904762,453.08101851851853
VND0000006,5896,0.20810719131614655,450.8354816824966
VND0000007,6069,0.19426594167078595,446.5457241720218
VND0000008,5911,0.19759769920487227,448.87193368296397
VND0000009,5972,0.19323509711989284,451.06848626925654
VND0000010,6163,0.20298555898101575,453.7306506571475
VND0000011,6072,0.20092226613965744,450.9695322793149
VND0000012,6010,0.1941763727121464,452.04342762063226
VND0000013,5904,0.20121951219512196,453.43021680216805
VND0000014,6041,0.21089223638470453,452.5709319649065
VND0000015,6066,0.19666996373227827,454.7217276623805
